comment_id,post_id,user_id,comment,comment_date
1,435,116,Love this,2025-03-15
2,41,473,Amazing,2025-03-09
3,287,112,Amazing,2024-04-16
4,204,469,Great post,2024-10-09
5,164,469,Great post,2024-07-08
6,169,118,Amazing,2024-10-18
7,369,280,Amazing,2024-04-04
8,119,35,Great post,2024-01-05
9,370,141,Nice pic,2025-05-15
10,182,137,Amazing,2024-02-10
11,244,29,Awesome!,2024-12-25
12,24,474,Awesome!,2024-12-16
13,154,84,Nice pic,2024-05-03
14,224,119,Awesome!,2024-06-23
15,222,96,Nice pic,2024-12-04
16,47,3,Love this,2024-08-15
17,48,306,Nice pic,2025-02-05
18,87,72,Love this,2024-06-03
19,101,235,Awesome!,2024-03-10
20,356,103,Amazing,2024-06-09
21,280,93,Nice pic,2024-01-14
22,124,130,Great post,2025-01-01
23,416,275,Nice pic,2024-11-22
24,133,114,Nice pic,2025-01-17
25,248,54,Love this,2024-07-31
26,225,370,Amazing,2024-06-12
27,82,170,Nice pic,2024-08-06
28,220,200,Awesome!,2024-12-26
29,135,344,Amazing,2024-09-27
30,303,44,Great post,2024-06-09
31,276,356,Great post,2024-10-11
32,494,288,Nice pic,2024-11-30
33,148,87,Amazing,2024-10-16
34,226,280,Great post,2024-08-05
35,378,302,Love this,2025-03-16
36,166,361,Love this,2024-05-28
37,68,128,Great post,2024-12-30
38,451,394,Awesome!,2024-07-25
39,408,274,Amazing,2024-04-21
40,321,402,Amazing,2024-01-09
41,449,141,Awesome!,2024-12-01
42,1,110,Amazing,2024-02-09
43,197,46,Awesome!,2024-02-22
44,110,322,Great post,2025-04-15
45,127,142,Awesome!,2024-05-07
46,402,460,Great post,2024-09-10
47,280,350,Great post,2025-01-25
48,257,393,Amazing,2024-08-04
49,301,325,Awesome!,2024-06-07
50,380,337,Great post,2024-03-02
51,448,138,Awesome!,2025-01-29
52,256,440,Nice pic,2024-03-26
53,197,472,Great post,2024-04-01
54,258,345,Awesome!,2024-04-01
55,103,150,Nice pic,2025-02-05
56,278,178,Awesome!,2025-05-01
57,48,23,Great post,2025-04-04
58,340,494,Great post,2024-05-01
59,55,85,Amazing,2024-08-26
60,357,309,Awesome!,2024-04-20
61,438,232,Nice pic,2025-01-18
62,323,481,Awesome!,2024-10-25
63,26,87,Nice pic,2024-08-09
64,318,316,Great post,2024-11-27
65,279,407,Awesome!,2024-07-14
66,16,459,Love this,2024-01-30
67,113,295,Amazing,2024-06-30
68,289,73,Nice pic,2025-04-30
69,245,1,Love this,2025-04-14
70,192,361,Amazing,2024-10-27
71,476,315,Love this,2024-04-24
72,163,472,Nice pic,2024-04-23
73,136,108,Great post,2024-12-20
74,193,52,Amazing,2025-02-07
75,38,176,Great post,2025-03-30
76,85,311,Amazing,2024-03-21
77,26,202,Nice pic,2024-10-08
78,88,327,Love this,2025-05-15
79,454,196,Love this,2024-04-05
80,212,498,Nice pic,2024-04-26
81,463,438,Awesome!,2024-09-14
82,217,41,Amazing,2024-04-13
83,448,7,Nice pic,2024-10-27
84,445,275,Love this,2025-03-25
85,456,451,Love this,2024-12-19
86,117,69,Love this,2025-05-13
87,445,192,Awesome!,2024-09-20
88,234,26,Love this,2024-12-26
89,243,301,Nice pic,2024-06-28
90,138,334,Amazing,2024-09-19
91,157,365,Love this,2024-08-04
92,340,495,Love this,2024-10-14
93,265,392,Great post,2025-04-05
94,378,19,Nice pic,2024-12-28
95,449,286,Great post,2024-05-30
96,158,216,Love this,2024-07-09
97,445,349,Amazing,2024-09-28
98,250,171,Great post,2024-06-09
99,207,220,Amazing,2024-07-15
100,450,177,Love this,2024-03-07
101,352,69,Love this,2025-04-06
102,64,188,Awesome!,2024-07-11
103,195,64,Nice pic,2024-05-09
104,215,426,Awesome!,2024-09-18
