follow_id,follower_id,following_id,follow_date
1,238,469,2024-01-30
2,371,425,2024-04-07
3,156,490,2025-04-10
4,195,239,2024-09-30
5,289,443,2024-04-23
6,282,336,2025-04-28
7,329,491,2024-01-31
8,192,31,2024-11-12
9,417,358,2024-12-11
10,236,290,2024-05-04
11,433,223,2024-11-26
12,279,289,2024-12-02
13,200,347,2025-04-04
14,489,305,2024-07-22
15,317,152,2025-02-12
16,53,68,2024-02-14
17,7,150,2024-07-30
18,33,86,2024-08-10
19,203,171,2025-03-06
20,496,164,2024-05-29
21,483,363,2024-04-17
22,38,230,2024-11-02
23,394,128,2024-12-02
24,353,295,2024-04-23
25,60,426,2025-04-26
26,415,364,2024-02-28
27,409,208,2024-11-18
28,386,361,2025-02-18
29,306,199,2024-11-08
30,60,94,2024-07-10
31,72,96,2024-06-10
32,252,213,2024-12-29
33,254,282,2024-09-18
34,335,385,2024-05-06
35,220,85,2024-11-11
36,440,264,2025-04-05
37,390,432,2024-12-12
38,356,480,2025-03-25
39,109,254,2024-05-17
40,81,226,2024-08-21
41,191,341,2025-04-07
42,266,349,2024-08-15
43,154,71,2024-07-14
44,227,441,2024-04-21
45,370,312,2024-05-25
46,256,327,2024-10-31
47,38,9,2024-10-27
48,328,275,2024-10-02
49,489,434,2024-05-02
50,360,6,2024-03-24
51,414,220,2024-05-19
52,396,53,2025-04-02
53,19,284,2025-02-15
54,24,489,2024-07-24
55,125,238,2024-07-07
56,337,193,2025-03-10
57,359,459,2024-07-09
58,162,475,2025-02-14
59,275,184,2025-05-08
60,76,47,2024-12-30
61,237,53,2025-02-15
62,417,39,2024-01-12
63,255,16,2024-07-14
64,452,282,2024-09-02
65,246,279,2025-02-04
66,184,393,2024-10-26
67,89,91,2024-05-01
68,452,497,2024-09-09
69,67,175,2025-01-02
70,166,70,2025-05-14
71,90,194,2024-06-06
72,480,255,2024-03-13
73,403,56,2025-01-03
74,389,352,2024-04-25
75,39,281,2025-04-27
76,106,499,2024-04-07
77,28,185,2024-01-02
78,60,158,2025-02-05
79,226,239,2024-05-14
80,199,420,2024-09-24
81,410,293,2024-12-12
82,428,305,2024-05-12
83,58,213,2024-03-17
84,336,249,2024-10-19
85,244,472,2024-05-17
86,423,165,2024-05-17
87,160,364,2024-09-16
88,422,238,2024-09-15
89,458,133,2025-01-18
90,496,393,2024-12-15
91,179,236,2024-05-09
