hashtag_id,hashtag,category,times_used,avg_engagement
1,#gaming,Food,27396,9.24
2,#travel,Travel,24818,10.76
3,#travel,Tech,12553,14.51
4,#fashion,Travel,17241,6.68
5,#fitness,Lifestyle,17190,9.19
6,#fashion,Travel,32122,14.56
7,#gaming,Lifestyle,4971,14.29
8,#books,Food,43306,8.34
9,#nature,Tech,7113,13.93
10,#coding,Travel,44929,12.76
11,#fashion,Fitness,6349,13.63
12,#travel,Tech,20710,2.2
13,#gaming,Travel,25255,11.82
14,#fashion,Lifestyle,41657,5.55
15,#coding,Lifestyle,5476,5.48
16,#fitness,Food,29515,9.24
17,#nature,Lifestyle,47603,13.71
18,#music,Food,19744,8.3
19,#books,Food,21696,7.72
20,#tech,Fitness,15987,6.24
21,#tech,Travel,45505,2.9
22,#tech,Fitness,26367,8.95
23,#fashion,Tech,42501,9.96
24,#tech,Travel,25733,8.02
25,#fitness,Travel,20540,6.46
26,#travel,Travel,42565,3.42
27,#fitness,Tech,42074,10.55
28,#food,Fitness,6768,12.39
29,#nature,Fitness,7586,6.52
30,#fitness,Fitness,25558,7.44
31,#tech,Fitness,3613,13.25
32,#tech,Food,11061,3.07
33,#food,Fitness,7584,5.48
34,#music,Lifestyle,29573,5.42
35,#fitness,Tech,13662,12.47
36,#food,Tech,49258,12.21
37,#nature,Food,9417,9.51
38,#fashion,Food,32084,6.25
39,#fashion,Travel,22235,9.12
40,#travel,Food,13359,14.94
41,#fitness,Lifestyle,26074,10.13
42,#travel,Lifestyle,45686,6.47
43,#fitness,Tech,4583,8.9
44,#food,Lifestyle,9275,11.78
45,#travel,Travel,13564,8.73
46,#food,Fitness,890,14.83
47,#food,Lifestyle,17282,4.8
48,#books,Tech,18284,3.09
49,#travel,Tech,5750,14.02
50,#tech,Travel,34375,8.72
51,#gaming,Lifestyle,17332,11.26
52,#books,Lifestyle,15068,11.63
53,#nature,Tech,21189,5.23
54,#food,Food,18601,12.06
55,#books,Food,12907,11.52
56,#music,Lifestyle,13547,8.89
57,#tech,Lifestyle,38161,3.24
58,#nature,Travel,20944,7.89
59,#coding,Food,20305,8.02
60,#coding,Travel,26068,8.67
61,#fitness,Lifestyle,883,2.8
62,#food,Tech,42435,7.76
63,#nature,Tech,23296,4.79
64,#travel,Lifestyle,18435,6.98
