post_id,user_id,caption,content_type,views,likes,shares,post_date
1,77,Having a great day! #music,Video,24201,8823,974,2024-05-03
2,69,Having a great day! #nature,Image,33522,3341,681,2024-11-27
3,309,Having a great day! #travel,Image,24762,9636,1488,2024-12-09
4,61,Having a great day! #tech,Image,91277,9912,1446,2024-04-14
5,452,Having a great day! #tech,Video,13024,7702,1564,2025-03-05
6,300,Having a great day! #books,Reel,54832,4846,317,2024-04-10
7,329,Having a great day! #tech,Video,22150,5780,351,2024-03-12
8,343,Having a great day! #travel,Image,54153,2262,1730,2024-11-18
9,4,Having a great day! #gaming,Reel,54014,204,39,2024-09-28
10,269,Having a great day! #fitness,Image,25256,8635,521,2025-02-21
11,42,Having a great day! #travel,Image,53220,6223,777,2024-10-09
12,471,Having a great day! #travel,Image,27810,9296,978,2024-05-18
13,107,Having a great day! #books,Image,98699,6535,1907,2024-02-09
14,72,Having a great day! #food,Reel,97808,5676,114,2024-02-20
15,231,Having a great day! #tech,Image,46736,9070,1932,2024-07-11
16,195,Having a great day! #fitness,Reel,51168,5198,743,2024-02-24
17,263,Having a great day! #nature,Image,3542,1478,729,2024-10-10
18,464,Having a great day! #coding,Reel,68402,2788,1408,2024-07-13
19,40,Having a great day! #fashion,Video,32421,8133,1221,2024-11-11
20,221,Having a great day! #books,Image,39478,5263,1240,2025-04-30
21,144,Having a great day! #nature,Video,15027,9248,414,2024-10-30
22,435,Having a great day! #nature,Reel,65544,2290,1302,2024-06-04
23,473,Having a great day! #nature,Reel,4918,5900,1441,2025-04-03
24,289,Having a great day! #nature,Video,56520,1745,26,2024-02-20
25,348,Having a great day! #books,Reel,65697,2479,711,2024-01-13
26,402,Having a great day! #coding,Reel,63398,5716,980,2024-02-19
27,410,Having a great day! #fitness,Reel,32070,8464,362,2024-10-09
28,203,Having a great day! #travel,Reel,80592,3242,925,2024-10-30
29,275,Having a great day! #fitness,Video,42827,3238,942,2024-02-28
30,433,Having a great day! #tech,Reel,22713,4883,1886,2024-11-10
31,71,Having a great day! #books,Video,55548,3053,1001,2024-11-21
32,488,Having a great day! #travel,Video,17995,3206,1674,2024-07-15
33,16,Having a great day! #coding,Video,4385,4513,465,2024-10-02
34,279,Having a great day! #fashion,Reel,99293,691,1561,2025-01-03
35,442,Having a great day! #food,Video,15486,3892,434,2025-02-19
36,292,Having a great day! #fashion,Reel,36942,9788,1108,2024-03-27
37,471,Having a great day! #travel,Video,86069,2088,1441,2025-03-19
38,138,Having a great day! #nature,Video,59343,1247,1302,2025-02-10
39,2,Having a great day! #food,Reel,60189,5879,1746,2024-02-02
40,67,Having a great day! #books,Video,45154,803,99,2024-02-20
41,466,Having a great day! #fitness,Reel,39666,2614,1795,2025-04-22
42,372,Having a great day! #coding,Video,86015,1504,1446,2024-02-18
43,62,Having a great day! #nature,Reel,17424,7836,150,2024-04-27
44,5,Having a great day! #books,Reel,21611,7220,724,2025-01-04
45,302,Having a great day! #nature,Video,56380,5162,1625,2024-03-12
46,261,Having a great day! #coding,Reel,51447,4852,1328,2024-01-28
47,479,Having a great day! #fashion,Image,50803,9322,866,2024-07-06
48,473,Having a great day! #travel,Video,66502,4703,1292,2024-12-30
49,41,Having a great day! #gaming,Image,20465,8798,674,2024-07-19
50,60,Having a great day! #tech,Reel,79900,911,638,2024-12-07
51,422,Having a great day! #music,Image,48841,2089,1540,2025-02-03
52,296,Having a great day! #food,Video,59763,8378,742,2024-01-29
53,2,Having a great day! #travel,Image,32153,763,971,2024-07-05
54,469,Having a great day! #fashion,Video,10308,9374,768,2024-03-02
55,160,Having a great day! #fashion,Image,72594,7493,21,2024-07-07
56,280,Having a great day! #coding,Image,935,6728,53,2024-04-29
57,122,Having a great day! #nature,Video,7950,2342,1462,2024-05-23
58,69,Having a great day! #nature,Image,77680,9313,132,2024-08-10
59,120,Having a great day! #food,Image,17940,9589,228,2024-03-20
60,437,Having a great day! #food,Image,20758,4994,1697,2024-12-26
61,347,Having a great day! #music,Video,22889,519,1954,2024-07-26
62,400,Having a great day! #coding,Image,26069,6573,767,2024-12-17
