AssignmentID,StudentID,CourseID,SubmissionDate,MarksObtained,MaxMarks
AS0001,S135,C016,2025-05-07,95,100
AS0002,S069,C019,2025-04-13,39,100
AS0003,S054,C008,2025-02-21,92,100
AS0004,S061,C013,2025-02-25,74,100
AS0005,S109,C013,2025-05-27,55,100
AS0006,S096,C009,2025-05-21,45,100
AS0007,S035,C003,2025-03-17,91,100
AS0008,S133,C012,2025-02-28,40,100
AS0009,S120,C017,2025-06-09,78,100
AS0010,S110,C015,2025-04-30,90,100
AS0011,S105,C012,2025-05-08,75,100
AS0012,S070,C013,2025-01-07,57,100
AS0013,S114,C008,2025-03-09,44,100
AS0014,S092,C003,2025-03-17,99,100
AS0015,S132,C018,2025-06-14,45,100
AS0016,S071,C008,2025-01-26,50,100
AS0017,S019,C012,2025-01-10,60,100
AS0018,S086,C007,2025-06-22,77,100
AS0019,S065,C010,2025-06-24,70,100
AS0020,S049,C020,2025-02-05,68,100
AS0021,S003,C010,2025-03-14,79,100
AS0022,S104,C013,2025-05-29,36,100
AS0023,S121,C017,2025-02-08,85,100
AS0024,S059,C008,2025-02-23,95,100
AS0025,S060,C017,2025-05-31,94,100
AS0026,S185,C015,2025-03-29,45,100
AS0027,S081,C007,2025-04-20,88,100
AS0028,S054,C015,2025-04-26,38,100
AS0029,S096,C005,2025-05-28,51,100
AS0030,S079,C001,2025-05-08,80,100
AS0031,S087,C008,2025-04-18,89,100
AS0032,S176,C013,2025-06-26,73,100
AS0033,S084,C019,2025-01-06,39,100
AS0034,S036,C005,2025-03-26,85,100
AS0035,S098,C007,2025-04-11,43,100
AS0036,S137,C013,2025-02-18,95,100
AS0037,S028,C011,2025-05-26,92,100
AS0038,S164,C010,2025-01-24,56,100
AS0039,S027,C018,2025-02-15,39,100
AS0040,S177,C020,2025-05-06,38,100
AS0041,S048,C007,2025-01-18,84,100
AS0042,S073,C007,2025-03-01,72,100
AS0043,S169,C017,2025-01-18,93,100
AS0044,S015,C012,2025-05-13,36,100
AS0045,S044,C011,2025-04-16,85,100
AS0046,S041,C004,2025-02-03,88,100
AS0047,S123,C003,2025-04-10,61,100
AS0048,S034,C007,2025-03-21,90,100
AS0049,S182,C016,2025-02-10,74,100
AS0050,S151,C007,2025-05-09,93,100
AS0051,S071,C007,2025-01-02,53,100
AS0052,S115,C003,2025-04-13,66,100
AS0053,S135,C011,2025-05-26,97,100
AS0054,S118,C015,2025-05-28,40,100
AS0055,S189,C003,2025-03-15,93,100
AS0056,S089,C010,2025-04-11,57,100
AS0057,S107,C008,2025-02-15,90,100
AS0058,S118,C013,2025-06-18,58,100
AS0059,S179,C019,2025-01-25,85,100
AS0060,S179,C002,2025-03-03,55,100
AS0061,S071,C018,2025-03-16,43,100
AS0062,S179,C007,2025-05-07,87,100
AS0063,S196,C018,2025-02-01,82,100
AS0064,S020,C004,2025-05-10,76,100
AS0065,S105,C015,2025-02-12,67,100
AS0066,S054,C017,2025-01-12,94,100
AS0067,S007,C003,2025-06-13,94,100
AS0068,S098,C011,2025-04-13,59,100
AS0069,S102,C002,2025-01-03,67,100
AS0070,S030,C005,2025-03-25,94,100
AS0071,S125,C015,2025-01-18,45,100
AS0072,S141,C008,2025-04-23,52,100
AS0073,S121,C009,2025-02-11,56,100
AS0074,S005,C020,2025-01-26,57,100
AS0075,S076,C004,2025-05-17,85,100
AS0076,S044,C003,2025-06-21,36,100
AS0077,S174,C009,2025-02-09,91,100
AS0078,S092,C006,2025-02-25,39,100
AS0079,S173,C018,2025-02-25,91,100
AS0080,S179,C002,2025-06-12,48,100
AS0081,S100,C010,2025-04-24,41,100
AS0082,S154,C001,2025-01-13,83,100
AS0083,S197,C007,2025-03-05,82,100
AS0084,S062,C007,2025-01-24,37,100
AS0085,S108,C001,2025-01-04,78,100
AS0086,S050,C003,2025-02-26,47,100
AS0087,S171,C006,2025-02-12,40,100
AS0088,S107,C017,2025-01-28,76,100
AS0089,S083,C018,2025-06-10,59,100
AS0090,S160,C007,2025-05-19,85,100
AS0091,S110,C004,2025-03-01,62,100
AS0092,S028,C012,2025-03-24,57,100
AS0093,S004,C013,2025-06-17,75,100
AS0094,S004,C013,2025-02-24,93,100
AS0095,S057,C003,2025-06-18,70,100
AS0096,S167,C020,2025-04-05,40,100
AS0097,S018,C007,2025-04-16,73,100
AS0098,S197,C020,2025-05-08,48,100
AS0099,S183,C018,2025-05-26,56,100
AS0100,S065,C004,2025-06-03,76,100
AS0101,S162,C013,2025-06-23,52,100
AS0102,S086,C006,2025-06-12,75,100
AS0103,S171,C016,2025-01-18,77,100
AS0104,S005,C020,2025-05-30,92,100
AS0105,S098,C017,2025-06-13,64,100
AS0106,S129,C019,2025-06-30,36,100
AS0107,S060,C001,2025-06-07,50,100
AS0108,S080,C008,2025-04-20,66,100
AS0109,S159,C003,2025-01-16,52,100
