AttendanceID,StudentID,CourseID,Date,Status
A00001,S161,C011,2025-02-08,Present
A00002,S121,C015,2025-06-11,Present
A00003,S071,C019,2025-01-15,Present
A00004,S019,C010,2025-04-29,Present
A00005,S015,C012,2025-03-15,Present
A00006,S024,C020,2025-06-02,Present
A00007,S119,C019,2025-05-22,Absent
A00008,S190,C002,2025-04-26,Absent
A00009,S147,C007,2025-03-24,Present
A00010,S129,C005,2025-01-16,Present
A00011,S088,C003,2025-05-10,Present
A00012,S011,C008,2025-04-23,Absent
A00013,S135,C017,2025-06-06,Present
A00014,S096,C010,2025-04-10,Present
A00015,S087,C020,2025-01-14,Present
A00016,S166,C011,2025-01-17,Present
A00017,S143,C013,2025-03-14,Present
A00018,S169,C020,2025-02-08,Present
A00019,S150,C005,2025-03-31,Present
A00020,S168,C013,2025-02-03,Present
A00021,S022,C010,2025-05-24,Present
A00022,S085,C005,2025-06-21,Present
A00023,S190,C017,2025-01-24,Present
A00024,S109,C017,2025-04-03,Present
A00025,S080,C006,2025-02-24,Present
A00026,S197,C016,2025-02-19,Present
A00027,S036,C005,2025-01-20,Present
A00028,S026,C017,2025-05-19,Present
A00029,S135,C002,2025-06-19,Present
A00030,S197,C020,2025-02-03,Present
A00031,S040,C006,2025-02-16,Present
A00032,S198,C020,2025-02-12,Present
A00033,S012,C014,2025-04-04,Present
A00034,S061,C015,2025-06-06,Present
A00035,S192,C015,2025-03-01,Present
A00036,S080,C016,2025-02-19,Present
A00037,S147,C015,2025-04-29,Present
A00038,S200,C013,2025-05-09,Present
A00039,S042,C007,2025-06-04,Present
A00040,S065,C002,2025-06-14,Present
A00041,S096,C018,2025-01-27,Present
A00042,S133,C004,2025-03-14,Present
A00043,S042,C009,2025-04-26,Absent
A00044,S038,C014,2025-01-24,Absent
A00045,S057,C015,2025-03-31,Absent
A00046,S107,C002,2025-04-12,Present
A00047,S061,C013,2025-01-21,Present
A00048,S008,C011,2025-01-26,Present
A00049,S167,C011,2025-02-07,Present
A00050,S074,C016,2025-06-28,Present
A00051,S195,C016,2025-04-25,Present
A00052,S021,C001,2025-03-07,Present
A00053,S039,C018,2025-06-05,Present
A00054,S029,C010,2025-03-02,Present
A00055,S013,C008,2025-04-18,Present
A00056,S160,C015,2025-01-17,Present
A00057,S128,C020,2025-05-18,Present
A00058,S132,C019,2025-03-03,Present
A00059,S075,C014,2025-01-01,Present
A00060,S062,C019,2025-04-17,Present
A00061,S172,C003,2025-05-15,Absent
A00062,S018,C017,2025-05-20,Present
A00063,S130,C018,2025-01-06,Present
A00064,S121,C002,2025-06-12,Present
A00065,S096,C009,2025-01-05,Present
A00066,S018,C012,2025-03-03,Present
A00067,S161,C004,2025-05-29,Present
A00068,S086,C005,2025-01-12,Present
A00069,S087,C006,2025-06-25,Present
A00070,S179,C016,2025-06-11,Present
A00071,S035,C003,2025-04-28,Present
A00072,S052,C002,2025-02-21,Absent
A00073,S081,C010,2025-05-12,Present
A00074,S140,C016,2025-03-06,Present
A00075,S166,C007,2025-03-15,Present
A00076,S200,C002,2025-06-17,Present
A00077,S032,C012,2025-04-22,Absent
A00078,S191,C015,2025-04-09,Present
A00079,S048,C016,2025-06-27,Present
A00080,S133,C009,2025-01-22,Present
A00081,S021,C014,2025-06-04,Absent
A00082,S047,C018,2025-03-17,Present
A00083,S021,C011,2025-06-19,Present
A00084,S115,C020,2025-04-20,Present
A00085,S114,C012,2025-04-25,Present
A00086,S091,C020,2025-04-22,Present
A00087,S015,C003,2025-06-21,Present
A00088,S094,C017,2025-06-23,Present
A00089,S008,C005,2025-06-05,Present
A00090,S113,C002,2025-02-02,Present
A00091,S200,C012,2025-04-03,Present
A00092,S146,C002,2025-06-04,Present
A00093,S116,C012,2025-04-06,Present
A00094,S020,C019,2025-02-05,Present
A00095,S102,C011,2025-06-16,Present
A00096,S030,C001,2025-02-17,Present
A00097,S100,C018,2025-01-31,Present
A00098,S067,C015,2025-02-24,Absent
A00099,S074,C016,2025-02-21,Present
A00100,S019,C015,2025-02-14,Absent
A00101,S114,C003,2025-06-24,Absent
A00102,S082,C012,2025-01-17,Present
A00103,S075,C010,2025-02-10,Present
A00104,S180,C006,2025-04-03,Present
A00105,S032,C007,2025-02-05,Present
A00106,S127,C001,2025-04-03,Present
A00107,S095,C015,2025-05-22,Present
A00108,S023,C003,2025-03-21,Present
A00109,S184,C016,2025-05-15,Present
A00110,S105,C019,2025-01-19,Present
A00111,S082,C003,2025-04-26,Present
A00112,S133,C012,2025-02-02,Absent
A00113,S200,C018,2025-06-13,Present
A00114,S197,C005,2025-04-21,Present
A00115,S015,C004,2025-05-13,Present
A00116,S043,C006,2025-03-24,Absent
A00117,S058,C012,2025-05-13,Absent
A00118,S021,C009,2025-02-20,Present
A00119,S142,C009,2025-02-02,Present
A00120,S158,C018,2025-01-24,Present
