CourseID,CourseName,Department,Credits,FacultyID
C001,Course_1,ECE,5,F010
C002,Course_2,BCA,5,F001
C003,Course_3,CSE,3,F026
C004,Course_4,MBA,5,F027
C005,Course_5,CSE,2,F014
C006,Course_6,BCA,3,F014
C007,Course_7,MBA,5,F017
C008,Course_8,BCA,5,F028
C009,Course_9,CSE,4,F008
C010,Course_10,CSE,3,F003
C011,Course_11,MBA,2,F017
C012,Course_12,MBA,3,F029
C013,Course_13,CSE,4,F024
C014,Course_14,BBA,3,F004
C015,Course_15,BBA,4,F007
C016,Course_16,BBA,3,F025
C017,Course_17,BCA,3,F025
C018,Course_18,ECE,5,F025
C019,Course_19,MBA,5,F022
C020,Course_20,MBA,4,F028
