ResultID,StudentID,CourseID,ExamType,MarksObtained,MaxMarks,Grade
R0001,S159,C005,Final,82,100,B
R0002,S132,C020,Final,76,100,B
R0003,S022,C014,Final,77,100,B
R0004,S175,C002,Midterm,63,100,C
R0005,S180,C018,Midterm,61,100,C
R0006,S027,C010,Final,49,100,D
R0007,S146,C013,Midterm,50,100,D
R0008,S100,C015,Midterm,58,100,C
R0009,S120,C015,Final,74,100,B
R0010,S022,C006,Midterm,43,100,D
R0011,S197,C014,Midterm,80,100,B
R0012,S085,C003,Final,81,100,B
R0013,S155,C016,Midterm,73,100,B
R0014,S030,C009,Final,90,100,A
R0015,S140,C005,Final,34,100,F
R0016,S164,C007,Final,48,100,D
R0017,S154,C013,Midterm,34,100,F
R0018,S111,C016,Midterm,76,100,B
R0019,S055,C001,Final,36,100,F
R0020,S065,C006,Midterm,64,100,C
R0021,S018,C009,Final,48,100,D
R0022,S077,C015,Final,40,100,D
R0023,S055,C009,Midterm,97,100,A
R0024,S024,C014,Final,36,100,F
R0025,S043,C007,Final,68,100,C
R0026,S124,C016,Midterm,83,100,B
R0027,S091,C019,Final,85,100,A
R0028,S144,C020,Midterm,31,100,F
R0029,S186,C019,Midterm,39,100,F
R0030,S171,C011,Midterm,71,100,B
R0031,S118,C005,Final,49,100,D
R0032,S030,C014,Final,70,100,B
R0033,S185,C001,Final,96,100,A
R0034,S163,C015,Midterm,46,100,D
R0035,S056,C007,Final,34,100,F
R0036,S199,C006,Final,99,100,A
R0037,S090,C007,Midterm,57,100,C
R0038,S095,C012,Midterm,31,100,F
R0039,S079,C017,Midterm,68,100,C
R0040,S167,C015,Final,93,100,A
R0041,S091,C012,Final,82,100,B
R0042,S196,C011,Midterm,96,100,A
R0043,S118,C014,Final,52,100,D
R0044,S142,C020,Midterm,52,100,D
R0045,S112,C013,Final,99,100,A
R0046,S163,C010,Midterm,85,100,A
R0047,S027,C003,Midterm,41,100,D
R0048,S027,C016,Midterm,82,100,B
R0049,S129,C019,Midterm,86,100,A
R0050,S108,C007,Midterm,67,100,C
R0051,S142,C013,Midterm,88,100,A
R0052,S121,C004,Final,55,100,C
R0053,S106,C013,Midterm,89,100,A
R0054,S058,C017,Final,77,100,B
R0055,S169,C009,Final,64,100,C
R0056,S173,C008,Midterm,83,100,B
R0057,S009,C001,Midterm,83,100,B
R0058,S096,C017,Final,49,100,D
R0059,S044,C019,Final,72,100,B
R0060,S143,C013,Midterm,60,100,C
R0061,S014,C019,Final,80,100,B
R0062,S163,C013,Midterm,46,100,D
R0063,S082,C017,Midterm,81,100,B
R0064,S060,C004,Midterm,85,100,A
R0065,S031,C019,Final,94,100,A
R0066,S142,C006,Final,63,100,C
R0067,S024,C003,Midterm,56,100,C
R0068,S003,C019,Midterm,85,100,A
R0069,S159,C018,Midterm,33,100,F
R0070,S007,C005,Final,78,100,B
R0071,S048,C008,Midterm,75,100,B
R0072,S050,C018,Midterm,68,100,C
R0073,S198,C009,Midterm,78,100,B
R0074,S022,C005,Midterm,65,100,C
R0075,S029,C015,Midterm,43,100,D
R0076,S037,C010,Final,43,100,D
R0077,S024,C003,Final,53,100,D
R0078,S054,C013,Midterm,76,100,B
R0079,S006,C014,Midterm,92,100,A
R0080,S161,C003,Midterm,92,100,A
R0081,S097,C011,Final,83,100,B
R0082,S047,C010,Midterm,50,100,D
R0083,S169,C019,Midterm,52,100,D
R0084,S088,C012,Final,45,100,D
R0085,S002,C006,Final,99,100,A
R0086,S050,C020,Midterm,45,100,D
R0087,S006,C017,Midterm,98,100,A
R0088,S094,C004,Midterm,57,100,C
R0089,S084,C005,Midterm,33,100,F
R0090,S187,C005,Final,40,100,D
