StudentID,StudentName,Gender,Age,Department,Year,City,EnrollmentDate
S001,Student_1,Male,18,CSE,2,Pune,2023-05-23
S002,Student_2,Male,19,MBA,4,Chandigarh,2023-01-31
S003,Student_3,Male,21,BBA,1,Pune,2024-10-27
S004,Student_4,Female,21,ECE,3,Chandigarh,2023-06-13
S005,Student_5,Female,23,CSE,2,Pune,2023-12-11
S006,Student_6,Male,19,ECE,1,Lucknow,2023-12-19
S007,Student_7,Female,18,ECE,1,Amritsar,2023-03-22
S008,Student_8,Female,23,MBA,2,Delhi,2023-02-16
S009,Student_9,Male,22,BCA,2,Delhi,2024-01-25
S010,Student_10,Female,25,CSE,2,Lucknow,2023-12-30
S011,Student_11,Male,22,BCA,2,Pune,2023-06-17
S012,Student_12,Female,24,CSE,2,Lucknow,2023-02-27
S013,Student_13,Male,18,CSE,4,Jaipur,2023-03-09
S014,Student_14,Male,23,BBA,4,Amritsar,2024-10-20
S015,Student_15,Female,20,CSE,2,Pune,2024-07-28
S016,Student_16,Female,24,MBA,4,Lucknow,2023-08-13
S017,Student_17,Male,25,BCA,1,Delhi,2023-06-06
S018,Student_18,Male,24,MBA,1,Amritsar,2024-01-26
S019,Student_19,Female,22,MBA,1,Delhi,2024-11-29
S020,Student_20,Female,23,BCA,3,Amritsar,2023-06-11
S021,Student_21,Female,18,CSE,2,Delhi,2024-10-02
S022,Student_22,Female,21,BBA,3,Mumbai,2024-07-06
S023,Student_23,Male,23,ECE,1,Delhi,2024-01-07
S024,Student_24,Female,21,BCA,2,Delhi,2023-03-29
S025,Student_25,Female,19,MBA,2,Mumbai,2024-11-06
S026,Student_26,Female,20,CSE,4,Pune,2024-07-06
S027,Student_27,Male,22,ECE,3,Ludhiana,2024-06-13
S028,Student_28,Female,19,BBA,2,Delhi,2023-12-13
S029,Student_29,Male,21,MBA,2,Chandigarh,2023-03-14
S030,Student_30,Male,21,BCA,1,Lucknow,2023-03-14
S031,Student_31,Male,22,ECE,2,Mumbai,2024-08-07
S032,Student_32,Female,21,ECE,4,Pune,2023-04-07
S033,Student_33,Male,24,CSE,4,Amritsar,2024-04-23
S034,Student_34,Male,19,BCA,4,Lucknow,2023-04-22
S035,Student_35,Male,21,BBA,4,Mumbai,2024-03-08
S036,Student_36,Male,22,ECE,2,Delhi,2024-03-29
S037,Student_37,Male,18,MBA,1,Delhi,2023-08-31
S038,Student_38,Male,24,ECE,4,Pune,2024-02-15
S039,Student_39,Male,20,ECE,1,Amritsar,2023-09-29
S040,Student_40,Female,22,ECE,4,Mumbai,2023-07-14
S041,Student_41,Female,21,BCA,1,Lucknow,2023-02-28
S042,Student_42,Male,25,MBA,2,Chandigarh,2024-06-04
S043,Student_43,Male,20,BCA,1,Pune,2024-02-18
S044,Student_44,Male,21,MBA,1,Delhi,2024-03-05
S045,Student_45,Female,22,BBA,3,Pune,2023-09-29
S046,Student_46,Female,20,CSE,4,Lucknow,2023-03-16
S047,Student_47,Male,25,MBA,1,Delhi,2024-07-04
S048,Student_48,Male,22,BBA,3,Delhi,2023-09-08
S049,Student_49,Female,22,BBA,4,Jaipur,2024-09-18
S050,Student_50,Male,22,BCA,2,Jaipur,2023-04-29
S051,Student_51,Male,20,CSE,3,Pune,2023-12-18
S052,Student_52,Male,22,MBA,4,Jaipur,2023-02-22
S053,Student_53,Male,24,CSE,1,Chandigarh,2023-12-08
S054,Student_54,Male,22,BBA,4,Amritsar,2024-07-28
S055,Student_55,Male,19,BCA,2,Chandigarh,2024-01-14
S056,Student_56,Male,24,BBA,1,Jaipur,2024-01-09
S057,Student_57,Male,23,BBA,2,Delhi,2023-12-29
S058,Student_58,Female,20,BBA,2,Mumbai,2024-02-27
S059,Student_59,Male,20,CSE,4,Pune,2023-10-01
S060,Student_60,Male,19,ECE,1,Ludhiana,2023-08-16
S061,Student_61,Male,25,CSE,3,Pune,2023-08-17
S062,Student_62,Male,21,ECE,3,Jaipur,2023-03-13
S063,Student_63,Female,23,MBA,4,Lucknow,2023-01-29
S064,Student_64,Male,22,BBA,3,Chandigarh,2023-04-22
S065,Student_65,Female,23,CSE,4,Delhi,2024-01-30
S066,Student_66,Male,22,BCA,4,Chandigarh,2024-06-16
S067,Student_67,Male,23,ECE,1,Lucknow,2024-09-30
S068,Student_68,Female,19,CSE,3,Amritsar,2023-12-01
S069,Student_69,Female,22,MBA,2,Pune,2024-03-06
S070,Student_70,Female,20,MBA,3,Amritsar,2024-07-15
S071,Student_71,Male,22,CSE,2,Amritsar,2024-08-16
S072,Student_72,Female,25,ECE,4,Pune,2024-06-07
S073,Student_73,Female,20,BCA,3,Lucknow,2023-04-06
S074,Student_74,Male,22,BBA,2,Mumbai,2023-01-26
S075,Student_75,Male,21,ECE,1,Ludhiana,2024-02-29
S076,Student_76,Male,24,ECE,4,Pune,2023-06-01
S077,Student_77,Male,19,ECE,2,Mumbai,2024-06-14
S078,Student_78,Female,18,MBA,2,Delhi,2024-04-12
S079,Student_79,Male,25,MBA,3,Ludhiana,2024-09-19
S080,Student_80,Female,25,BBA,4,Ludhiana,2023-09-23
S081,Student_81,Male,22,MBA,4,Pune,2023-10-09
S082,Student_82,Female,19,CSE,2,Jaipur,2023-12-10
S083,Student_83,Female,19,BBA,2,Pune,2024-01-28
S084,Student_84,Male,21,BCA,4,Amritsar,2023-12-05
S085,Student_85,Female,24,BCA,2,Amritsar,2024-02-03
S086,Student_86,Male,24,ECE,1,Lucknow,2023-11-02
S087,Student_87,Female,24,MBA,2,Ludhiana,2023-08-13
S088,Student_88,Female,24,ECE,1,Amritsar,2023-12-11
S089,Student_89,Female,20,ECE,2,Chandigarh,2024-02-08
S090,Student_90,Male,19,ECE,2,Ludhiana,2023-07-06
S091,Student_91,Male,22,ECE,3,Pune,2024-04-10
S092,Student_92,Female,23,ECE,3,Amritsar,2023-09-16
S093,Student_93,Male,25,BCA,1,Lucknow,2023-08-18
S094,Student_94,Male,18,BCA,2,Pune,2023-01-21
S095,Student_95,Male,21,BBA,4,Delhi,2024-07-31
S096,Student_96,Male,25,CSE,3,Mumbai,2024-09-12
S097,Student_97,Male,20,CSE,1,Chandigarh,2023-11-16
S098,Student_98,Female,24,BBA,1,Pune,2023-04-15
S099,Student_99,Female,19,MBA,1,Lucknow,2024-06-29
S100,Student_100,Female,23,BCA,3,Chandigarh,2024-03-06
S101,Student_101,Female,19,ECE,3,Ludhiana,2023-06-06
S102,Student_102,Female,20,MBA,3,Ludhiana,2024-04-21
S103,Student_103,Female,22,CSE,2,Delhi,2023-10-13
S104,Student_104,Female,21,ECE,4,Lucknow,2023-01-30
S105,Student_105,Female,23,BBA,4,Pune,2023-12-30
S106,Student_106,Female,23,CSE,3,Chandigarh,2024-06-13
S107,Student_107,Male,19,BBA,4,Ludhiana,2024-07-22
S108,Student_108,Male,25,ECE,4,Chandigarh,2023-04-06
S109,Student_109,Female,21,ECE,2,Jaipur,2024-11-10
S110,Student_110,Female,25,MBA,3,Amritsar,2024-07-17
S111,Student_111,Female,23,ECE,3,Jaipur,2023-09-15
S112,Student_112,Male,19,BBA,3,Delhi,2024-07-02
S113,Student_113,Male,21,BBA,4,Jaipur,2024-08-26
S114,Student_114,Female,19,BBA,3,Pune,2024-01-05
S115,Student_115,Male,22,BCA,2,Jaipur,2023-02-16
S116,Student_116,Male,22,BBA,4,Delhi,2023-01-13
S117,Student_117,Female,25,ECE,4,Lucknow,2023-07-08
S118,Student_118,Male,22,ECE,1,Delhi,2024-02-15
S119,Student_119,Female,19,MBA,1,Mumbai,2023-06-02
S120,Student_120,Female,19,BBA,1,Amritsar,2024-09-12
S121,Student_121,Male,24,ECE,4,Jaipur,2024-08-25
S122,Student_122,Female,22,MBA,1,Delhi,2023-08-01
S123,Student_123,Male,22,BCA,2,Pune,2023-06-27
S124,Student_124,Male,20,BCA,4,Ludhiana,2024-08-31
S125,Student_125,Female,22,BCA,2,Jaipur,2023-10-17
S126,Student_126,Female,19,BBA,3,Pune,2024-03-11
S127,Student_127,Male,21,BBA,3,Mumbai,2023-03-15
S128,Student_128,Male,20,CSE,3,Ludhiana,2023-05-08
S129,Student_129,Female,22,ECE,3,Ludhiana,2024-03-24
S130,Student_130,Male,18,ECE,3,Jaipur,2023-01-27
S131,Student_131,Male,21,MBA,1,Jaipur,2024-08-13
S132,Student_132,Male,20,ECE,4,Jaipur,2023-07-05
S133,Student_133,Female,25,BCA,4,Lucknow,2024-02-23
S134,Student_134,Female,23,BCA,2,Lucknow,2024-02-26
S135,Student_135,Female,22,ECE,1,Ludhiana,2023-04-01
S136,Student_136,Female,22,CSE,1,Amritsar,2024-06-10
S137,Student_137,Male,25,ECE,1,Pune,2024-06-14
S138,Student_138,Female,25,ECE,1,Pune,2023-10-01
S139,Student_139,Male,22,ECE,4,Delhi,2023-01-30
S140,Student_140,Male,20,CSE,1,Amritsar,2023-04-06
S141,Student_141,Male,19,ECE,1,Mumbai,2024-05-25
S142,Student_142,Female,22,ECE,4,Ludhiana,2023-09-07
S143,Student_143,Female,20,ECE,2,Mumbai,2023-03-13
S144,Student_144,Female,24,CSE,3,Chandigarh,2023-10-17
S145,Student_145,Female,25,BBA,4,Ludhiana,2023-12-20
S146,Student_146,Female,24,ECE,3,Pune,2023-09-02
S147,Student_147,Female,21,ECE,1,Lucknow,2024-04-29
S148,Student_148,Female,24,BBA,4,Chandigarh,2023-05-10
S149,Student_149,Female,19,ECE,1,Ludhiana,2023-01-16
S150,Student_150,Male,24,BBA,1,Ludhiana,2023-09-29
S151,Student_151,Female,24,BCA,3,Amritsar,2023-11-21
S152,Student_152,Female,18,MBA,1,Pune,2024-10-08
S153,Student_153,Female,21,BCA,4,Delhi,2024-10-10
S154,Student_154,Male,25,BBA,3,Chandigarh,2023-02-17
S155,Student_155,Female,18,CSE,3,Lucknow,2024-03-17
S156,Student_156,Male,21,MBA,4,Mumbai,2023-06-24
S157,Student_157,Male,19,MBA,4,Pune,2024-05-24
S158,Student_158,Male,21,ECE,3,Ludhiana,2023-09-19
S159,Student_159,Male,25,CSE,2,Delhi,2024-03-28
S160,Student_160,Female,22,ECE,3,Ludhiana,2023-11-06
S161,Student_161,Male,24,ECE,1,Pune,2024-01-26
S162,Student_162,Female,22,CSE,1,Amritsar,2023-10-09
S163,Student_163,Male,18,MBA,4,Jaipur,2023-08-24
S164,Student_164,Female,21,BBA,3,Mumbai,2024-10-05
S165,Student_165,Male,18,CSE,4,Chandigarh,2024-08-16
S166,Student_166,Female,20,BCA,3,Lucknow,2024-03-01
S167,Student_167,Male,21,BBA,3,Jaipur,2023-06-18
S168,Student_168,Female,25,CSE,3,Delhi,2024-04-24
S169,Student_169,Male,20,BBA,4,Lucknow,2023-04-03
S170,Student_170,Female,18,CSE,1,Ludhiana,2024-01-13
S171,Student_171,Female,24,CSE,1,Pune,2024-04-27
S172,Student_172,Male,23,MBA,2,Delhi,2024-10-12
S173,Student_173,Female,22,ECE,1,Mumbai,2023-02-16
S174,Student_174,Male,22,ECE,1,Delhi,2023-08-29
S175,Student_175,Male,24,ECE,3,Amritsar,2024-08-24
S176,Student_176,Male,24,BCA,4,Amritsar,2023-10-14
S177,Student_177,Male,23,BBA,4,Ludhiana,2023-08-30
S178,Student_178,Female,19,CSE,3,Chandigarh,2024-02-12
S179,Student_179,Female,21,BCA,4,Delhi,2024-11-09
S180,Student_180,Male,18,BCA,3,Pune,2023-05-09
S181,Student_181,Male,19,MBA,2,Pune,2023-08-27
S182,Student_182,Female,20,MBA,1,Jaipur,2023-05-29
S183,Student_183,Male,22,BBA,1,Chandigarh,2023-05-15
S184,Student_184,Male,23,BBA,3,Chandigarh,2023-06-28
S185,Student_185,Female,18,BBA,4,Delhi,2023-03-07
S186,Student_186,Female,25,CSE,1,Ludhiana,2024-05-30
S187,Student_187,Male,18,MBA,3,Ludhiana,2024-10-20
S188,Student_188,Male,18,ECE,4,Amritsar,2023-04-21
S189,Student_189,Female,25,BCA,1,Lucknow,2024-09-14
S190,Student_190,Male,19,BBA,3,Lucknow,2024-01-26
S191,Student_191,Female,25,MBA,4,Delhi,2023-04-28
S192,Student_192,Male,24,ECE,2,Amritsar,2023-12-14
S193,Student_193,Female,24,ECE,1,Lucknow,2024-03-13
S194,Student_194,Female,22,CSE,2,Ludhiana,2023-03-10
S195,Student_195,Male,19,BCA,4,Delhi,2024-01-17
S196,Student_196,Male,18,MBA,3,Delhi,2024-02-25
S197,Student_197,Female,24,BCA,3,Jaipur,2023-12-27
S198,Student_198,Male,21,BBA,4,Pune,2023-04-21
S199,Student_199,Female,23,BCA,3,Pune,2024-03-15
S200,Student_200,Male,22,BCA,2,Jaipur,2023-11-13
